"Observed m/z";"Adjusted m/z";Matched name;Adduct;Formula;Matched delta mass (Da);Matched difference (ppm);Matched theoretical mass;Coverage
436.283275;436.283816;9-Methylpentadecanoylcarnitine;[M+K-H2];C23H45NO4;3.51781e-4;0.806313;436.283464;1 out of 5
436.283275;436.283816;5-Methylpentadecanoylcarnitine;[M+K-H2];C23H45NO4;3.51781e-4;0.806313;436.283464;1 out of 5
436.283275;436.283816;6-Methylpentadecanoylcarnitine;[M+K-H2];C23H45NO4;3.51781e-4;0.806313;436.283464;1 out of 5
436.283275;436.283816;11-Methylpentadecanoylcarnitine;[M+K-H2];C23H45NO4;3.51781e-4;0.806313;436.283464;1 out of 5
436.283275;436.283816;3-Methylpentadecanoylcarnitine;[M+K-H2];C23H45NO4;3.51781e-4;0.806313;436.283464;1 out of 5
436.283275;436.283816;8-Methylpentadecanoylcarnitine;[M+K-H2];C23H45NO4;3.51781e-4;0.806313;436.283464;1 out of 5
436.283275;436.283816;7-Methylpentadecanoylcarnitine;[M+K-H2];C23H45NO4;3.51781e-4;0.806313;436.283464;1 out of 5
436.283275;436.283816;13-Methylpentadecanoylcarnitine;[M+K-H2];C23H45NO4;3.51781e-4;0.806313;436.283464;1 out of 5
436.283275;436.283816;4-Methylpentadecanoylcarnitine;[M+K-H2];C23H45NO4;3.51781e-4;0.806313;436.283464;1 out of 5
436.283275;436.283816;14-Methylpentadecanoylcarnitine;[M+K-H2];C23H45NO4;3.51781e-4;0.806313;436.283464;1 out of 5
436.283275;436.283816;10-Methylpentadecanoylcarnitine;[M+K-H2];C23H45NO4;3.51781e-4;0.806313;436.283464;1 out of 5
436.283275;436.283816;10-Hydroxypentadecanoylcarnitine;[M+Cl];C22H43NO5;2.91225e-4;0.667514;436.283524;1 out of 5
436.283275;436.283816;7-Hydroxypentadecanoylcarnitine;[M+Cl];C22H43NO5;2.91225e-4;0.667514;436.283524;1 out of 5
436.283275;436.283816;9-Hydroxypentadecanoylcarnitine;[M+Cl];C22H43NO5;2.91225e-4;0.667514;436.283524;1 out of 5
436.283275;436.283816;6-Hydroxypentadecanoylcarnitine;[M+Cl];C22H43NO5;2.91225e-4;0.667514;436.283524;1 out of 5
436.283275;436.283816;5-Hydroxypentadecanoylcarnitine;[M+Cl];C22H43NO5;2.91225e-4;0.667514;436.283524;1 out of 5
436.283275;436.283816;3-hydroxypentadecanoyl carnitine;[M+Cl];C22H43NO5;2.91223e-4;0.667509;436.283524;1 out of 5
437.267493;437.268038;"LysoPA(0:0/18:0)";[M-H];C21H43O7P;6.75229e-4;1.544202;437.267363;3 out of 5
437.267493;437.268038;"LysoPA(18:0/0:0)";[M-H];C21H43O7P;6.74748e-4;1.543102;437.267364;3 out of 5
437.267493;437.268038;"DG(8:0/12:0/0:0)";[M+K-H2];C23H44O5;5.58954e-4;1.278289;437.267480;1 out of 5
437.267493;437.268038;"DG(8:0/0:0/12:0)";[M+K-H2];C23H44O5;5.58954e-4;1.278289;437.267480;1 out of 5
437.267493;437.268038;"DG(8:0/i-12:0/0:0)";[M+K-H2];C23H44O5;5.58954e-4;1.278289;437.267480;1 out of 5
437.267493;437.268038;"DG(8:0/0:0/i-12:0)";[M+K-H2];C23H44O5;5.58954e-4;1.278289;437.267480;1 out of 5
437.267493;437.268038;"DG(10:0/0:0/10:0)";[M+K-H2];C23H44O5;5.58954e-4;1.278289;437.267480;1 out of 5
437.267493;437.268038;"DG(12:0/8:0/0:0)";[M+K-H2];C23H44O5;5.58954e-4;1.278289;437.267480;1 out of 5
437.267493;437.268038;"DG(12:0/0:0/8:0)";[M+K-H2];C23H44O5;5.58954e-4;1.278289;437.267480;1 out of 5
437.267493;437.268038;"DG(i-12:0/8:0/0:0)";[M+K-H2];C23H44O5;5.58954e-4;1.278289;437.267480;1 out of 5
437.267493;437.268038;"DG(i-12:0/0:0/8:0)";[M+K-H2];C23H44O5;5.58954e-4;1.278289;437.267480;1 out of 5
437.267493;437.268038;3-(Acetyloxy)-2-hydroxypropyl octadecanoate;[M+K-H2];C23H44O5;5.58953e-4;1.278286;437.267480;1 out of 5
437.267493;437.268038;"DG(10:0/10:0/0:0)";[M+K-H2];C23H44O5;5.58953e-4;1.278286;437.267480;1 out of 5
437.267493;437.268038;Sorbitan palmitate;[M+Cl];C22H42O6;4.98395e-4;1.139794;437.267540;1 out of 5
442.016975;442.017540;Guanosine diphosphate;[M-H];C10H15N5O11P2;4.87854e-4;1.103700;442.017052;1 out of 5
442.016975;442.017540;8-oxo-dGDP;[M-H];C10H15N5O11P2;4.87854e-4;1.103700;442.017052;1 out of 5
442.016975;442.017540;Guanosine diphos-phate;[M-H];C10H15N5O11P2;4.86906e-4;1.101555;442.017053;1 out of 5
442.016975;442.017540;"Guanosine-3',5'-Diphosphate";[M-H];C10H15N5O11P2;4.86906e-4;1.101555;442.017053;1 out of 5
442.016975;442.017540;"N-[4-[3,5-Bis(trifluoromethyl)pyrazol-1-yl]phenyl]-4-methylthiadiazole-5-carboxamide";[M+Na-H2];C15H9F6N5OS;-3.26857e-4;-0.739465;442.017867;1 out of 5
443.077068;443.077638;3-[[(2S)-3-(4-Phenylphenyl)-2-(phosphonomethylamino)propanoyl]amino]propanoic acid;[M+K-H2];C19H23N2O6P;-3.40187e-4;-0.767781;443.077978;1 out of 5
443.077068;443.077638;2-Aminoethyl 2-[[2-[4-(4-chlorophenoxy)phenoxy]acetyl]amino]ethyl hydrogen phosphate;[M-H];C18H22ClN2O7P;-4.00520e-4;-0.903948;443.078039;1 out of 5
443.077068;443.077638;2-Ethoxy-3-[4-[2-[4-(trifluoromethylsulfonyloxy)phenyl]ethoxy]phenyl]propanoic acid;[M-H2O-H];C20H21F3O7S;-5.29399e-4;-1.194820;443.078168;1 out of 5
443.077068;443.077638;4-Methoxybenzenepropanol 1-(2-sulfoglucoside);[M+Cl];C16H24O10S;-7.80398e-4;-1.761308;443.078419;1 out of 5
443.122607;443.123178;Melatonin glucuronide;[M+Cl];C19H24N2O8;5.10755e-4;1.152627;443.122667;1 out of 5
445.093742;445.094321;"2-(2-Aminoethoxymethyl)-4-(2-chlorophenyl)-6-methyl-1,4-dihydropyridine-3,5-dicarboxylic acid O3-ethyl ester O5-methyl ester;benzenesulfonic acid";[M+K-H2];C20H25ClN2O5;5.16362e-4;1.160119;445.093805;1 out of 5
445.093742;445.094321;Amlodipine;[M+K-H2];C20H25ClN2O5;5.16335e-4;1.160058;445.093805;1 out of 5
