"Observed m/z";"Adjusted m/z";Matched name;Adduct;Formula;Matched delta mass (Da);Matched difference (ppm);Matched theoretical mass;Coverage
186.956162;186.956366;Ccc(C(O)=O)P(=O)=O;[M+K-H2];C4H7O4P;-4.34750e-4;-2.325403;186.956801;1 out of 5
194.988179;194.988393;"S-(4,5-Dihydro-2-methyl-3-furanyl) ethanethioate";[M+K-H2];C7H10O2S;-3.62263e-4;-1.857865;194.988755;1 out of 5
194.988179;194.988393;Thiacremonone;[M+Cl];C6H8O3S;-4.22821e-4;-2.168436;194.988816;1 out of 5
195.026671;195.026885;8-Nitroguanine;[M-H];C5H4N6O3;-3.25973e-4;-1.671424;195.027211;2 out of 5
200.005913;200.006133;Creatinine nitrite nitrate;[M-H2O-H];C4H5N5O6;-8.52895e-6;-0.042643;200.006142;1 out of 5
200.068630;200.068850;Methyl l-phenylalaninate;[M+Na-H2];C10H13NO2;-4.45211e-4;-2.225282;200.069296;1 out of 5
200.068630;200.068850;4-Amino-3-phenylbutanoic acid;[M+Na-H2];C10H13NO2;-4.45211e-4;-2.225282;200.069296;1 out of 5
200.068630;200.068850;4'-Hydroxybutyranilide;[M+Na-H2];C10H13NO2;-4.45211e-4;-2.225282;200.069296;1 out of 5
200.068630;200.068850;"6,7-Dihydroxy-2-aminotetralin";[M+Na-H2];C10H13NO2;-4.45211e-4;-2.225282;200.069296;1 out of 5
200.068630;200.068850;Arecaidine propargyl ester;[M+Na-H2];C10H13NO2;-4.45211e-4;-2.225282;200.069296;1 out of 5
200.068630;200.068850;D-Homophenylalanine;[M+Na-H2];C10H13NO2;-4.45211e-4;-2.225282;200.069296;1 out of 5
200.068630;200.068850;Phenprobamate;[M+Na-H2];C10H13NO2;-4.45211e-4;-2.225282;200.069296;1 out of 5
200.068630;200.068850;"2-(1-Phenylpropan-2-yl)-1,3,2-dioxazetidine";[M+Na-H2];C10H13NO2;-4.45211e-4;-2.225282;200.069296;1 out of 5
200.068630;200.068850;2(N)-Methyl-norsalsolinol;[M+Na-H2];C10H13NO2;-4.45213e-4;-2.225292;200.069296;1 out of 5
200.068630;200.068850;(R)-Salsolinol;[M+Na-H2];C10H13NO2;-4.45213e-4;-2.225292;200.069296;1 out of 5
200.068630;200.068850;alpha-Methylphenylalanine;[M+Na-H2];C10H13NO2;-4.45213e-4;-2.225292;200.069296;1 out of 5
200.068630;200.068850;N-methylphenylalanine;[M+Na-H2];C10H13NO2;-4.45213e-4;-2.225292;200.069296;1 out of 5
200.068630;200.068850;Maltoxazine;[M+Na-H2];C10H13NO2;-4.45213e-4;-2.225292;200.069296;1 out of 5
