"Observed m/z";"Adjusted m/z";Matched name;Adduct;Formula;Matched delta mass (Da);Matched difference (ppm);Matched theoretical mass;Coverage
807.552296;807.552296;Annosquatin IV;[M+NORHARMANE+H];C37H66O8;-3.98160e-4;-0.493045;807.552694;2 out of 4
807.552296;807.552296;Gigantecin;[M+NORHARMANE+H];C37H66O8;-3.98160e-4;-0.493045;807.552694;2 out of 4
807.552296;807.552296;Annosquatin A;[M+NORHARMANE+H];C37H66O8;-3.98160e-4;-0.493045;807.552694;2 out of 4
807.552296;807.552296;Annosquatin-II;[M+NORHARMANE+H];C37H66O8;-3.98160e-4;-0.493045;807.552694;2 out of 4
807.552296;807.552296;Squamostanin-A;[M+NORHARMANE+H];C37H66O8;-3.98160e-4;-0.493045;807.552694;2 out of 4
807.552296;807.552296;Squamostanin-B;[M+NORHARMANE+H];C37H66O8;-3.98160e-4;-0.493045;807.552694;2 out of 4
807.552296;807.552296;Annosquatin-III;[M+NORHARMANE+H];C37H66O8;-3.98160e-4;-0.493045;807.552694;2 out of 4
807.566069;807.566069;"PA(P-20:0/22:2(13Z,16Z))";[M+K];C45H85O7P;-3.79891e-4;-0.470415;807.566449;1 out of 4
809.569111;809.569111;"PG(O-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))";[M+H];C46H81O9P;1.43508e-5;0.017727;809.569097;3 out of 4
809.569111;809.569111;"PG(P-20:0/20:5(5Z,8Z,11Z,14Z,17Z))";[M+H];C46H81O9P;1.43508e-5;0.017727;809.569097;3 out of 4
809.581964;809.581964;"PA(O-20:0/22:2(13Z,16Z))";[M+K];C45H87O7P;-1.34551e-4;-0.166198;809.582099;1 out of 4
809.581964;809.581964;"PA(P-20:0/22:1(11Z))";[M+K];C45H87O7P;-1.34551e-4;-0.166198;809.582099;1 out of 4
810.606576;810.606576;"GlcCer(t18:1(8Z)/20:0(2OH[S]))";[M+Na];C44H85NO10;8.45856e-6;0.010435;810.606568;1 out of 4
811.539392;811.539392;"PA(P-16:0/17:2(9Z,12Z))";[M+NORHARMANE+H];C36H67O7P;2.58583e-5;0.031863;811.539366;1 out of 4
811.598013;811.598013;"PA(O-20:0/22:1(11Z))";[M+K];C45H89O7P;2.63830e-4;0.325074;811.597749;1 out of 4
811.598013;811.598013;"PA(P-20:0/22:0)";[M+K];C45H89O7P;2.63830e-4;0.325074;811.597749;1 out of 4
812.601838;812.601838;"GlcCer(d18:0/20:0(2OH[R]))";[M+K];C44H87NO9;5.97633e-4;0.735457;812.601240;1 out of 4
813.540252;813.540252;Unknown Name;[M+Na];C46H79O8P;-2.23677e-4;-0.274942;813.540476;52 out of 4
813.540252;813.540252;"PA(21:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))";[M+Na];C46H79O8P;-2.23677e-4;-0.274942;813.540476;3 out of 4
813.540252;813.540252;"PA(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/21:0)";[M+Na];C46H79O8P;-2.23677e-4;-0.274942;813.540476;3 out of 4
813.540252;813.540252;"PG(O-20:0/17:2(9Z,12Z))";[M+K];C43H83O9P;-3.75425e-4;-0.461470;813.540628;1 out of 4
813.540252;813.540252;"PG(P-18:0/19:1(9Z))";[M+K];C43H83O9P;-3.75425e-4;-0.461470;813.540628;1 out of 4
813.540252;813.540252;"PG(P-20:0/17:1(9Z))";[M+K];C43H83O9P;-3.75425e-4;-0.461470;813.540628;1 out of 4
818.505484;818.505484;"(3'-sulfo)Galbeta-Cer(d18:1/16:0(2OH))";[M+Na];C40H77NO12S;-3.84381e-4;-0.469613;818.505868;1 out of 4
821.524205;821.524205;"PA(P-16:0/18:4(6Z,9Z,12Z,15Z))";[M+NORHARMANE+H];C37H65O7P;4.89340e-4;0.595650;821.523716;1 out of 4
823.539879;823.539879;"PA(O-16:0/18:4(6Z,9Z,12Z,15Z))";[M+NORHARMANE+H];C37H67O7P;5.13367e-4;0.623367;823.539366;1 out of 4
