"Observed m/z";"Adjusted m/z";Matched name;Adduct;Formula;Matched delta mass (Da);Matched difference (ppm);Matched theoretical mass;Coverage
309.036776;309.036776;Kaempferol;[M+Na];C15H10O6;-1.82052e-4;-0.589095;309.036958;3 out of 4
309.036776;309.036776;Maritimetin;[M+Na];C15H10O6;-1.82052e-4;-0.589095;309.036958;3 out of 4
309.036776;309.036776;Norartocarpetin;[M+Na];C15H10O6;-1.82052e-4;-0.589095;309.036958;3 out of 4
309.036776;309.036776;2'-Hydroxygenistein;[M+Na];C15H10O6;-1.82052e-4;-0.589095;309.036958;3 out of 4
309.036776;309.036776;Cernuine;[M+Na];C15H10O6;-1.82052e-4;-0.589095;309.036958;3 out of 4
309.036776;309.036776;Citreorosein;[M+Na];C15H10O6;-1.82052e-4;-0.589095;309.036958;3 out of 4
309.036776;309.036776;3'-Hydroxygenistein;[M+Na];C15H10O6;-1.82052e-4;-0.589095;309.036958;3 out of 4
309.036776;309.036776;"5,6,7,4'-Tetrahydroxyisoflavone";[M+Na];C15H10O6;-1.82052e-4;-0.589095;309.036958;3 out of 4
309.036776;309.036776;"7,8,3',4'-Tetrahydroxyisoflavone";[M+Na];C15H10O6;-1.82052e-4;-0.589095;309.036958;3 out of 4
309.036776;309.036776;8-Hydroxygenistein;[M+Na];C15H10O6;-1.82052e-4;-0.589095;309.036958;3 out of 4
309.060405;309.060405;Fulvic acid;[M+H];C14H12O8;-8.83460e-5;-0.285853;309.060493;3 out of 4
310.058707;310.058707;Ftivazide;[M+K];C14H13N3O3;-1.41291e-4;-0.455691;310.058848;1 out of 4
310.058707;310.058707;Carotamine;[M+K];C14H13N3O3;-1.41297e-4;-0.455710;310.058848;1 out of 4
310.995037;310.995037;quinalizarin;[M+K];C14H8O6;-2.07988e-4;-0.668782;310.995245;3 out of 4
312.065089;312.065089;Fexinidazole Sulfone;[M+H];C12H13N3O5S;2.21295e-4;0.709131;312.064868;1 out of 4
313.010787;313.010787;Bellidifolin;[M+K];C14H10O6;-1.08042e-4;-0.345170;313.010895;3 out of 4
313.010787;313.010787;BR-Xanthone B;[M+K];C14H10O6;-1.08052e-4;-0.345202;313.010895;3 out of 4
313.010787;313.010787;Alloathyriol;[M+K];C14H10O6;-1.08052e-4;-0.345202;313.010895;3 out of 4
313.010787;313.010787;"1,3,6-Trihydroxy-5-methoxyxanthone";[M+K];C14H10O6;-1.08052e-4;-0.345202;313.010895;3 out of 4
315.038464;315.038464;THIAMIPRINE;[M+Na];C9H8N8O2S;1.51296e-4;0.480246;315.038313;2 out of 4
315.047298;315.047298;Cordeauxione;[M+Na];C14H12O7;-2.24738e-4;-0.713346;315.047523;3 out of 4
315.047298;315.047298;Glycerylphosphorylinositol;[M+H];C9H15O10P;-2.61681e-4;-0.830608;315.047560;2 out of 4
316.248176;316.248176;Decanoylcarnitine;[M+H];C17H33NO4;-5.85470e-5;-0.185130;316.248235;1 out of 4
316.248176;316.248176;6-Methylnonanoylcarnitine;[M+H];C17H33NO4;-5.85470e-5;-0.185130;316.248235;1 out of 4
316.248176;316.248176;5-Methylnonanoylcarnitine;[M+H];C17H33NO4;-5.85470e-5;-0.185130;316.248235;1 out of 4
316.248176;316.248176;8-Methylnonanoylcarnitine;[M+H];C17H33NO4;-5.85470e-5;-0.185130;316.248235;1 out of 4
316.248176;316.248176;7-Methylnonanoylcarnitine;[M+H];C17H33NO4;-5.85470e-5;-0.185130;316.248235;1 out of 4
316.248176;316.248176;4-Methylnonanoylcarnitine;[M+H];C17H33NO4;-5.85470e-5;-0.185130;316.248235;1 out of 4
316.248176;316.248176;3-Methylnonanoylcarnitine;[M+H];C17H33NO4;-5.85470e-5;-0.185130;316.248235;1 out of 4
316.248176;316.248176;N-Myristoyl Serine;[M+H];C17H33NO4;-5.85470e-5;-0.185130;316.248235;1 out of 4
320.089265;320.089265;(S)-Annocherine A;[M+Na];C17H15NO4;-6.29730e-5;-0.196736;320.089328;1 out of 4
320.089265;320.089265;L-3-(3-Hydroxy-4-pivaloyloxyphenyl)alanine;[M+K];C14H19NO5;-2.14716e-4;-0.670800;320.089480;1 out of 4
320.089265;320.089265;Sanfetrinem;[M+K];C14H19NO5;-2.14716e-4;-0.670800;320.089480;1 out of 4
